SunSoft,Capcom
Lancarse/Atlus,Nintendo
Capcom/Klein Computer Entertainment,Capcom
Terminal Reality/4mm Games,Konami Digital Entertainment
AI,Hudson Soft
Eidos Interactive,Eidos Interactive
Smack Down Productions,Zoo Games
Nobilis,SouthPeak Games
Polygon Magic,Sega
Buzz Monkey/EA Montreal,Electronic Arts
Atlus/Dingo Inc.,Nippon Ichi Software
Opus,Ubisoft
Venom Games,Take-Two Interactive
Game Republic/JapanStudio,Sony Computer Entertainment
CodeFire,Atari
Phantagram,Deep Silver
Mercury Steam/Alchemic Productions,Codemasters
SScholastic Media,Scholastic Inc.
Access Games,Square Enix
Image Epoch/Imageepoch,Marvelous Interactive
Human Head Studios,Warner Bros. Interactive Entertainment
Big Red Button Entertainment,Sega
Blue Byte,Ubisoft
Wildfire Studios,Take-Two Interactive
MumboJumbo,Rondomedia
Sidhe Interactive,Home Entertainment Suppliers
Inti/Inti Creates,Capcom
Magix,Magix
Mucky Foot Productions,Activision
Denyu-Sha,Ubisoft
Ronin Entertainment,Universal Interactive
Disney Interactive,Sony Computer Entertainment
Artdink,Namco Bandai Games
Shade,Activision
Prolific,TDK Mediactive
SCE Studio Cambridge,Sony Computer Entertainment
Sinister Games,Unknown
Banpresto/SoftMax,Banpresto
Mahou,Midas Interactive Entertainment
Graphic State,THQ
Wizarbox,Ubisoft
Hyperspace Cowgirls,THQ
Related Designs,Deep Silver
The Workshop,Sony Computer Entertainment
Neversoft Entertainment/Underground Development,Activision
Simon & Schuster,TDK Mediactive
Banpresto,505 Games
DoubleTap Games,Warner Bros. Interactive Entertainment
Mistic Software,Atari
IR Gurus,Codemasters
LightBox Interactive,Sony Computer Entertainment
Akella,Ubisoft
Game Brains,Avanquest
Circus Freak,Infogrames
Infinite Interactive,Capcom
Wargaming.net,Wargaming.net
Game Titan,Interplay
Sacnoth,Midway Games
Cave,Rising Star Games
Sanuk Games,GSP
Just Add Monsters,Microsoft Game Studios
Sims,Zushi Games
