The Elder Scrolls IV: Oblivion,PS3,2007,4J Studios,Role-Playing,M,36.83
The Legend of Zelda: A Link Between Worlds,3DS,2013,Nintendo,Action,E,56.02
Resident Evil 6,PS3,2012,Capcom,Shooter,M,15.37
Mass Effect 2,X360,2010,BioWare,Role-Playing,M,17.08
Dragon Ball Z: Budokai,PS2,2002,Dimps Corporation,Fighting,T,22.1
Madden NFL 2002,PS2,2001,EA Sports,Sports,E,49.43
The Sims: Vacation,PC,2002,Maxis,Simulation,T,44.62
LEGO Batman: The Videogame,Wii,1999,Traveller's Tales,Action,E10+,26.14
Animal Crossing: Happy Home Designer,3DS,2015,Nintendo,Simulation,E,18.57
The Sims 4,PC,2014,Maxis,Simulation,T,24.48
Borderlands 2,X360,2012,Gearbox Software,Shooter,M,14.77
LEGO Batman: The Videogame,DS,2008,TT Fusion,Action,E10+,10.31
Kung Fu Panda,X360,2008,Luxoflux/Inc.,Action,E10+,21.07
Mass Effect 3,X360,2012,BioWare,Role-Playing,M,15.6
Heavy Rain,PS3,2010,Quantic Dream,Adventure,M,51.12
Saints Row 2,X360,2008,Volition Inc.,Action,M,49.4
Tom Clancy's Splinter Cell,XB,2002,Ubisoft Montreal,Action,T,54.69
FIFA 14,PS4,2013,EA Canada,Sports,E,49.3
Killzone 2,PS3,2009,Guerrilla,Shooter,M,22.61
Far Cry 3,X360,2012,Ubisoft Montreal,Shooter,M,20.61
Epic Mickey,Wii,2010,Junction Point,Platform,E,58.68
NBA 2K13,X360,2012,Visual Concepts,Sports,E,15.74
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Spike/Namco Bandai Games,Fighting,T,30.66
The Sims: Livin Large,PC,2000,Maxis,Misc,T,26.3
World Soccer Winning Eleven 6 International,PS2,2002,KCET,Sports,E,53.91
Devil May Cry,PS2,2001,Capcom,Action,M,56.97
Star Wars: The Old Republic,PC,2011,LucasArts/BioWare,Role-Playing,T,58.68
Middle-Earth: Shadow of Mordor,PS4,2014,Monolith Productions,Action,M,35.89
Sonic Heroes,PS2,2003,Sonic Team,Platform,E,46.2
Hitman 2: Silent Assassin,PS2,2002,Io Interactive,Action,M,15.57
Titanfall,XOne,2014,Respawn Entertainment,Shooter,M,12.33
Battlefield: Bad Company 2,PS3,2010,EA DICE,Shooter,M,48.19
SOCOM II: U.S. Navy SEALs,PS2,2003,Zipper Interactive,Shooter,M,52.15
Pac-Man Collection,GBA,2001,Mass Media,Puzzle,E,57.19
Street Fighter IV,X360,2009,Capcom,Fighting,T,28.04
inFAMOUS,PS3,2009,Sucker Punch,Action,T,32.89
Kirby Super Star Ultra,DS,2008,HAL Labs,Platform,E,28.16
Call of Duty: Ghosts,XOne,2013,Infinity Ward,Shooter,M,45.84
FIFA 15,X360,2014,EA Sports,Sports,E,33.26
Mass Effect,X360,2007,BioWare,Role-Playing,M,42.76
Sonic Mega Collection Plus,PS2,2004,Sonic Team,Misc,E,46.53
World Soccer Winning Eleven 7 International,PS2,2003,KCET,Sports,E,27.33
Sega Superstars Tennis,X360,2008,Sumo Digital,Sports,E10+,30.44
Hot Shots Golf 3,PS2,2001,Clap Hanz,Sports,E,54.1
Cooking Mama: Cook Off,Wii,2007,OfficeCreate,Simulation,E,17.4
Call of Duty: Finest Hour,PS2,2004,Spark Unlimited,Shooter,T,47.38
WarioWare: Smooth Moves,Wii,2006,Intelligent Systems,Puzzle,E10+,52.86
Imagine: Babyz,DS,2007,Ubisoft,Simulation,E,54.58
Madden NFL 13,X360,2012,EA Tiburon,Sports,E,14.67
The Elder Scrolls III: Morrowind,XB,2002,Bethesda Softworks,Role-Playing,T,30.61
Assassin's Creed IV: Black Flag,PS4,2013,Ubisoft,Action,M,56.22
Mortal Kombat,PS3,2011,NetherRealm Studios,Fighting,M,26.21
Madden NFL 10,X360,2009,EA Tiburon,Sports,E,32.56
BioShock,X360,2007,Irrational Games/2K Marin,Shooter,M,35.88
Metroid Prime,GC,2002,Retro Studios,Shooter,T,15.26
Assassin's Creed: Brotherhood,PS3,2010,Ubisoft Montreal,Action,M,54.56
Finding Nemo,GBA,2003,Vicarious Visions,Action,E,56.63
Zumba Fitness 2,Wii,2011,Majesco Games/Majesco,Sports,T,31.85
Medal of Honor,PS3,2010,EA DICE/Danger Close,Shooter,M,16.72
Imagine: Fashion Designer,DS,2007,Virtual Toys,Simulation,E,34.35
inFAMOUS: Second Son,PS4,2014,Sucker Punch,Action,T,34.53
NBA Street,PS2,2001,NuFX,Sports,E,10.99
Jak II,PS2,2003,Naughty Dog,Platform,T,30.03
Need for Speed: Hot Pursuit,PS3,2010,Criterion Games,Racing,E10+,35.8
Skylanders: Spyro's Adventure,Wii,2011,Toys for Bob,Action,E10+,36.9
